Client,Time,Symbol,Quantity,Operation,Value
furkan,2022-07-27 13:21:00.691026,ARDYZ,38,SELL,-200.26
furkan,2022-07-27 13:21:00.704030,KRDMD,0,SELL,-0.0
furkan,2022-07-27 13:21:00.712030,LOGO,5,SELL,-212.0
furkan,2022-07-27 13:21:00.727029,ACSEL,11,SELL,-512.8199999999999
b,2022-07-27 13:36:30.168333,AEFES,100,BUY,3198.0
b,2022-07-27 13:36:42.682142,ZOREN,1000,BUY,1970.0
b,2022-07-27 14:11:03.945292,ACSEL,0,SELL,-0.0
b,2022-07-27 14:12:31.113038,ACSEL,3,SELL,-139.85999999999999
b,2022-07-27 14:15:59.716223,AEFES,0,SELL,-0.0
b,2022-07-27 14:15:59.722223,ZOREN,0,SELL,-0.0
b,2022-07-27 14:18:19.486700,THYAO,10,BUY,506.0
b,2022-07-27 14:57:08.740285,AEFES,1,SELL,-31.98
b,2022-07-27 14:57:08.751286,ZOREN,23,SELL,-45.31
b,2022-07-27 15:02:24.412091,AEFES,2,SELL,-63.96
b,2022-07-27 15:02:24.422000,ZOREN,19,SELL,-37.43
b,2022-07-27 15:50:44.790602,AEFES,2,SELL,-63.96
b,2022-07-27 15:50:44.800168,ZOREN,5,SELL,-9.85
b,2022-07-27 16:25:56.944825,AEFES,10,SELL,-319.8
b,2022-07-27 16:25:56.955606,ZOREN,203,SELL,-399.90999999999997
b,2022-07-27 16:25:56.966631,THYAO,6,SELL,-303.6
b,2022-07-27 16:28:05.566454,THYAO,200,BUY,10120.0
b,2022-07-27 16:28:24.207503,AEFES,19,SELL,-607.62
b,2022-07-27 16:28:24.217008,ZOREN,406,SELL,-799.8199999999999
b,2022-07-27 16:28:24.227997,THYAO,12,SELL,-607.2
b,2022-07-27 16:29:11.287422,AEFES,6,SELL,-191.88
b,2022-07-27 16:29:11.299038,ZOREN,102,SELL,-200.94
b,2022-07-27 16:29:11.308693,THYAO,12,SELL,-607.2
b,2022-07-28 07:37:40.891028,ACSEL,100,BUY,4662.0
b,2022-07-28 07:37:46.127928,ZOREN,1,BUY,1.97
b,2022-07-28 07:37:52.171188,ADESE,1,BUY,0.75
b,2022-07-28 07:37:59.504293,VAKFN,1,BUY,2.29
b,2022-07-28 07:53:25.915575,ZRGYO,1,BUY,3.11
z,2022-07-28 07:56:21.061970,ACSEL,1,BUY,46.62
b,2022-07-28 08:11:00.496443,CANTE,1,BUY,55.3
b,2022-07-28 08:23:12.578899,THYAO,6,SELL,-303.6
b,2022-07-28 08:23:12.590902,CANTE,1,SELL,-55.3
b,2022-07-28 08:24:05.404845,ADESE,1,SELL,-0.75
b,2022-07-28 09:02:28.640215,AEFES,59,SELL,-1886.82
b,2022-07-28 09:02:28.653798,ZOREN,203,SELL,-399.90999999999997
b,2022-07-28 09:02:28.667811,ACSEL,99,SELL,-4615.38
b,2022-07-28 09:03:20.256582,ZOREN,36,SELL,-70.92
b,2022-07-28 09:03:20.270586,THYAO,18,SELL,-910.8000000000001
furkan,2022-10-12 18:04:56.022365,ACSEL,89,REMOVE,4149.179999999999
furkan,2022-10-12 18:05:05.865698,ARCLK,1000,BUY,65850.0
furkan,2022-10-12 18:05:49.045302,ARDYZ,228,SELL,-1201.56
furkan,2022-10-12 18:05:49.061670,KRDMD,216,SELL,-2302.56
furkan,2022-10-12 18:05:49.075986,LOGO,28,SELL,-1187.2
furkan,2022-10-12 18:05:49.089067,ARCLK,80,SELL,-5268.0
